question,answer
What is the return policy of the products?,You can return products within 30 days of delivery.
Do I get discount with the HDFC credit card?,"Yes, HDFC credit card users get a 10% discount on select items."
How can I track my order?,You can track your order using the tracking link sent to your email.
What payment methods are accepted?,"We accept credit/debit cards, net banking, UPI, and cash on delivery."
How long does it take to process a refund?,Refunds are processed within 5-7 business days after the return is received.
Are there any ongoing sales or promotions?,"Yes, check our 'Deals' section for ongoing sales and discounts."
Can I cancel or modify my order after placing it?,You can cancel or modify your order within 1 hour of placing it.
Do you offer international shipping?,"Yes, we offer international shipping to select countries."
What should I do if I receive a damaged product?,Contact our support team within 48 hours for a replacement or refund.
How do I use a promo code during checkout?,Enter your promo code in the designated field during checkout.
How quickly can I get my order delivered?,Orders will be delivered by the date you see on the product page for your location.
What are the modes of refund available after cancellation?,"Refund will be processed to the payment mode(Debit/Credit card, NEFT, UPI) used to pay for the order"
Can I change the address for the pick-up the of item(s) in my order?,"Once a return is requested, the pickup address cannot be changed. You can cancel this return request and create a new one with the updated address."
Can I ask the delivery agent to reschedule the pickup date?,"Yes, you can request the pickup executive to reschedule it based on your convenience."
